,tweet_text,disaster_type,topic
5220,Lets all pray for the departed souls that they rest in peace and the injured people recover soon. Cant even imagine the pain of ppl of Endian occupied Kashmir. Nobody knows about the amount of damage they have taken in this catastrophe. Hoping they are safe. #earthquake,earthquake,Topic 1
1667,"ὓ8Rescue Emergency has been declared in Azad Kashmir &amp; District Jhelum. ὓ8 Swift response by Pak Army Aviation, Medical Corps, and Soldiers on ground. ὓ8 National &amp; Provincial Disaster Management Authorities are into it. ὓ8 Volunteers are mobilized on ground. #earthquake",earthquake,Topic 2
5581,"Revised death toll in Paradise, Californias Camp Fire the states deadliest now stands at 76 with 1,276 still missing and the death toll expected to rise dramatically.",fire,Topic 1
5393,"North Valley Community Foundation Camp Fire Relief - North Valley Community Foundation  RE Camp Fire in Butte County a trusted local philanthropy that funds local nonprofit organizations, has expertise in knowing where the greatest need is",fire,Topic 2
1920,May all my friends and family be safe and my thoughts and prayers to out to the ones were hurt and lost loved ones during these tragic fires in California.,fire,Topic 3
2123,Educators and school personnel helping students cope with the #California wildfires can use NCTSN tip sheet Helping Youth after Community Trauma: Tips for Educators for suggestions on how they may help students.,fire,Topic 4
1131,"#KeralaFloods #KeralaFloodRelief ὄ9Indian Coast Guards Rescue &amp; Relief helicopter carried 1000 kg of general medicines,food packets,drinking water,sanitary pads,baby diapers,bed sheets toothpaste etc..&amp; dropped them remotest &amp; inaccessible flooded areas",flood,Topic 1
3888,"The Faculty, Residents &amp; Staff @JipmerNephro contributed Rice, Sugar &amp; Pulses worth INR 21000/- for #KeralaFloodRelief - in addition to their personal contributions, volunteering for relief work &amp; joining #JIPMER fund collection drive from staff salary contributions",flood,Topic 2
1873,Nebraska Severe Weather Awareness Week continues today with the topic of Tornadoes. Do you know what to do if a Tornado Warning is issued for your area or you see a tornado? NOW is the time to make a plan! Use the TEST Tornado Warning today to practice your plan. #newx #swaw,flood,Topic 3
3867,"Although downgraded to a tropical depression with sustained winds of 35 mph, #Florence continues to produce heavy rain..Rivers continue to rise with widespread flooding.. At least 17 people have been killed @FOXLA",hurricane,Topic 1
30088,RT @CBSMiami: Martin Co. has issued an evacuation order for its barrier islands and low lying areas.  @TedScouten #H,hurricane,Topic 2
25605,Dorian will not do that much damage Dorian will not do that much damage Dorian will not do that much damage Dorian will not do that much damage Dorian will not do that much damage Dorian will not do that much damage Dorian will not do that much damage,hurricane,Topic 3
293,"BC Hardesty and FF Yakich are being deployed to South Carolina as part of an Urban Search &amp; Rescue Team (MD-TF1) alongside our regional partners. They will be assisting in the response to, and recovery from, #HurricaneFlorence:",hurricane,Topic 4
928,"KOMO News stands strong with our friends and colleagues in the Carolinas as they recover from #Florence. Join us as we support our relief effort by donating to the @SalvationArmyUS. Donate here, or text Florence to 91999",hurricane,Topic 5
